active,Source Name,Source Domain,Source Country Code,Source State,Source City,candidate_address_zip,Match Result,Match Type,Best SID,Account,HQ SID,WHQ SID,DHQ SID,Marketing Alias,Street Address,City,State,ZIP,Country Code,Country Name,Domain,name_normalized,marketing_alias_normalized,levenshtein_idx,Source Segment,No Bids (Last 30 Days),Impressions (Last 30 Days),MEI,Revenue Range,Employee Range,Industry,Sub-Industry,Audience,has_ip,Source Segment,custom_attribute
true,"",outlook.de,,,,,match,split domain,106044217,ITC Ltd,13687632,3156,13687632,ITC,106 Sardar Patel Road,Secunderabad,,500 003,IN,India,.co.in,itc,itc,0,Manufacturing,2851,0,29,Over $5B,Enterprise,Manufacturing,Paper & Packaging,Enterprise Business,true,Manufacturing,
true,__,hiroshima-cu.ac.jp,,,,,match,exact domain,122566476,Hiroshima City University,122566476,122566476,122566476,Hiroshima City University,3 4 1 Ozuka Higashi,Hiroshima,,731-3194,JP,Japan,hiroshima-cu.ac.jp,hiroshimacityuniversity,hiroshimacityuniversity,0,Education,43819,0,438,$25M - $50M,Mid-Market,Education,Educational Services,Education,true,Education,
true,--,iol.pt,,,,,match,exact domain,3718659,R.Cidade - Producoes Audiovisuais SA,3854368,3854368,3718659,R.Cidade - Producoes Audiovisuais,Rua Sampaio E Pina 24/26,Lisboa,,1070-249,PT,Portugal,iol.pt,r.cidadeproducoesaudiovisuaissa,r.cidadeproducoesaudiovisuais,0,Telecommunications,0,0,0,$1B - $2.5B,Enterprise,Telecommunications,Radio,,false,Telecommunications,
false,--,mrbear.se,,,,,no match,duplicate input,,,,,,,,,,,,,,,,,,0,0,0,,,,,,false,,
true,---,elurra.com,,,,,match,soundex suggestion,122736461,1,122736461,122736461,122736461,1,Eerste Van Swindenstraat 381,Amsterdam,NH,1093GB,NL,Netherlands,plusoneamsterdam.com,1,1,7,Unclassified,253,0,3,$1 - $1M,Small,Unclassified,Unclassified,SMB,true,Unclassified,
false,??,livedoor.com,,,,,no match,duplicate match,122736461,1,122736461,122736461,122736461,1,Eerste Van Swindenstraat 381,Amsterdam,NH,1093GB,NL,Netherlands,plusoneamsterdam.com,1,1,4,Unclassified,253,0,3,$1 - $1M,Small,Unclassified,Unclassified,SMB,true,Unclassified,
true,????,club.ne.jp,,,,,match,exact domain name,114273815,Club USA LLC,114273815,114273815,114273815,Club,5066 S Wadsworth Way,Littleton,CO,80123,US,United States,clubusa.net,clubusa,club,0,Recreation,7626,0,76,,,Recreation,Parks & Facilities,SMB,true,Recreation,
false,?????,yahoo.co.jp,,,,,no match,duplicate match,13728077,Yahoo Japan Corporation,1711066,1711066,13728077,Yahoo Japan,9 7 1 Akasaka Minato Ku,Tokyo,,107-6211,JP,Japan,yahoo.co.jp,yahoojapan,yahoojapan,0,Software & Technology,60094,2325,601,Over $5B,Enterprise,Software & Technology,Software Applications,Enterprise Business,true,Software & Technology,
true,009fea6b@10minutemail.co.uk,10minutemail.co.uk,,,,,match,metaphone name,122745583,Montemil,122745583,122745583,122745583,Montemil,,,,,BR,Brazil,montemil.com.br,montemil,montemil,7,Transportation & Logistics,0,0,0,,,Unclassified,Unclassified,,false,Transportation & Logistics,
true,1111111111,dada.com,,,,,match,exact domain,120995372,Kaefer Kostec S.A.C.,120995372,120995372,120995372,Kaefer Kostec S.A.C.,Jr. Austria Nro 1201 Urb. Chacra Rios Norte,Lima - Cercado,,,PE,Peru,dada.com,kaeferkostecs.a.c.,kaeferkostecs.a.c.,0,Unclassified,5,0,0,,,Unclassified,Unclassified,SMB,true,Unclassified,
false,1959,picusled.com,,,,,no match,duplicate match,122736461,1,122736461,122736461,122736461,1,Eerste Van Swindenstraat 381,Amsterdam,NH,1093GB,NL,Netherlands,plusoneamsterdam.com,1,1,3,Unclassified,253,0,3,$1 - $1M,Small,Unclassified,Unclassified,SMB,true,Unclassified,
true,2ODEM,2odem.com,,,,,match,metaphone name,110805575,ODEM,110805575,110805575,110805575,ODEM,Zae Rumilly Sud 780 Rue des Grives,Marigny St Marcel,ARA,74150,FR,France,odem-plast.com,odem,odem,1,Manufacturing,0,0,0,$10M - $25M,Small,Manufacturing,Plastic Products,,false,Manufacturing,
true,"39, Howard Road",w2services.co.uk,,,,,match,soundex suggestion,104493901,Howard Read,104493901,104493901,104493901,Howard Read,5985 Princeton Rd,Hopkinsville,KY,42240,US,United States,,howardread,howardread,11,Construction,0,0,0,$1 - $1M,Small,Construction,Contractors,,false,Construction,
true,3D Plus,3d-plus.com,,,,,match,exact domain,9941608,3d Plus SA,1570250,1570250,9941608,3d Plus,Zone Industrielle 408 Rue Helene Boucher,Buc,IDF,78530,FR,France,3d-plus.com,3dplussa,3dplus,0,Manufacturing,0,0,0,$1B - $2.5B,Enterprise,Manufacturing,Electronic Equipment,,false,Manufacturing,
true,3dprint,3dprint.fr,,,,,match,split domain,120787521,Eldevik Industridesign AS,120787521,120787521,120787521,Eldevik Industridesign,Bergsvegen 56,Borkenes,19,9475,NO,Norway,3dprint.no,eldevikindustridesign,eldevikindustridesign,0,Business Services,7,0,0,$1 - $1M,Small,Business Services,General,SMB,true,Business Services,
true,3D visionlab,domsten.dk,,,,,match,soundex suggestion,118669031,D Vision GmbH,118669031,118669031,118669031,D Vision,Breitwiesenstr. 27,Stuttgart,BW,70565,DE,Germany,dvision-online.de,dvisiongmbh,dvision,8,Consumer Goods & Services,0,0,0,$1 - $1M,Small,Consumer Goods & Services,Personal Care,,false,Consumer Goods & Services,
true,3D Werk,hotwirepr.com,,,,,match,exact domain,8576592,Hotwire Public Relations Ltd,8576592,8576592,8576592,Hotwire Public Relations,4th 69 Wilson Street,London,ISL,EC2A 2BB,GB,United Kingdom,hotwirepr.com,hotwirepublicrelations,hotwirepublicrelations,0,Business Services,2965,0,30,$5M - $10M,Small,Business Services,Marketing Services,SMB,true,Business Services,
true,3Shape,3shape.com,,,,,match,exact domain,95863568,3 Shape Inc,8920886,67831011,95863568,3 Shape,571 Central Ave Ste 109a,New Providence,NJ,07974,US,United States,3shape.com,3shape,3shape,0,Software & Technology,7227,0,72,$10M - $25M,Mid-Market,Software & Technology,Media & Storage,SMB,true,Software & Technology,
true,3T,3t.nl,,,,,match,exact domain,68718933,3 T. BV,68718934,68718934,68718934,3 T.,Institutenweg 1,Enschede,,7521 PH,NL,Netherlands,3t.nl,3t.bv,3t.,0,Biotech,1313,0,13,,,Biotech,Research,SMB,true,Biotech,
true,3trpd,3trpd.co.uk,,,,,match,exact domain,65198989,3t RPD Limited.,65198989,65198989,65198989,3t RPD Limited.,Fulton Court Wofford Way New Greenham Park Newbury,Thatcham,WBK,RG19 6HD,GB,United Kingdom,3trpd.co.uk,3trpd,3trpd,0,Manufacturing,191,0,2,,,Manufacturing,Plastic Products,SMB,true,Manufacturing,
true,3v,vucinec.com,,,,,match,split domain,80162058,3v Norge AS,80162058,80162058,80162058,3v Norge AS,Ullersmovegen 42,Klofta,02,2040,NO,Norway,3v.no,3vnorge,3vnorge,0,Software & Technology,64,0,1,$1M - $5M,Small,Software & Technology,Data & Technical Services,SMB,true,Software & Technology,
true,40th Parallel,40parallel.net,,,,,match,soundex suggestion,112602151,45th Parallel EMS,112602151,112602151,112602151,45th Parallel EMS,46 Ramsey Rd,Colebrook,NH,03576,US,United States,45thparallelems.org,45thparallelems,45thparallelems,7,Transportation & Logistics,0,0,0,$10M - $25M,Small,Transportation & Logistics,Local Transit,,false,Transportation & Logistics,
true,4C Electronics,4celectronics.co.uk,,,,,match,exact domain,118377725,4c Electronics Ltd,118377725,118377725,118377725,4c Electronics,'avon House' Avon Street,Saltburn-By-The-Sea,,TS121LX,GB,United Kingdom,4celectronics.co.uk,4celectronics,4celectronics,0,Automotive,814,0,8,,,Software & Technology,Specialized Equipment,SMB,true,Automotive,
true,4DSP,4dsp.com,,,,,match,exact domain,121151324,4DSP. LLC,50423547,50423547,50423547,4DSP.,3101 Bee Caves Rd Ste 350,Austin,TX,78746,US,United States,4dsp.com,4dsp.,4dsp.,0,Manufacturing,0,0,0,$100M - $250M,Mid-Market,Manufacturing,Electronic Equipment,Mid-Market Business,true,Manufacturing,
true,4D-VIRTUALIZ,4d-virtualiz.com,,,,,match,exact domain,123513048,4d-Virtualiz SAS,123513048,123513048,123513048,4d-Virtualiz,,Clermont-Ferrand,,63000,FR,France,4d-virtualiz.com,4dvirtualizsas,4dvirtualiz,0,Software & Technology,0,0,0,$1 - $1M,Small,Software & Technology,Computer & Mobile Devices,,false,Software & Technology,
true,4Links,4links.co.uk,,,,,match,metaphone name,25339220,Links Doo,25339220,25339220,25339220,Links,Bobovacka 2 A,Zagreb,,10000,HR,Croatia,links.hr,linksdoo,links,1,Software & Technology,6,0,0,$10M - $25M,,Software & Technology,Computer & Mobile Devices,SMB,true,Software & Technology,
true,4Sight Imaging,4sightimaging.com,,,,,match,exact domain,122712637,4sight Imaging,122712637,122712637,122712637,4sight Imaging,Unit A9 Deakins Business Park,Bolton,LAN,BL7 9RP,GB,United Kingdom,4sightimaging.com,4sightimaging,4sightimaging,0,Software & Technology,2562,0,26,$5M - $10M,Small,Software & Technology,Software Applications,SMB,true,Software & Technology,
false,52:59.0,mpg.de,,,,,no match,duplicate match,66537068,Biomedizinische Nmr Forschungs GmbH,66537068,66537068,66537068,Biomedizinische Nmr Forschungs,Am Fassberg 11,Goettingen,NI,37077,DE,Germany,mpg.de,biomedizinischenmrforschungsgmbh,biomedizinischenmrforschungs,0,Biotech,95515,0,955,$5M - $10M,Small,Biotech,Research,SMB,true,Biotech,
true,7layers,7layers.com,,,,,match,exact domain,23071306,7L Ayers,23071306,23071306,23071306,7L Ayers,15 Musick Honor Farm Rd,Irvine,CA,92618,US,United States,7layers.com,7layers,7layers,0,Business Services,23250,0,233,$25M - $50M,Mid-Market,Business Services,Technical,SMB,true,Business Services,
true,a,b.com,,,,,match,exact domain,3822078,Bouwfonds Property Development BV,62256326,62256326,62256326,Bouwfonds Property Development,Westerdorpsstraat 66,Hoevelaken,GE,3871 AZ,NL,Netherlands,b.com,bouwfondspropertydevelopmentbv,bouwfondspropertydevelopment,0,Real Estate,0,0,0,$2.5B - $5B,Enterprise,Real Estate,Property Management,,false,Real Estate,
false,a,boi.com,,,,,no match,duplicate input,,,,,,,,,,,,,,,,,,0,0,0,,,,,,false,,
true,A3R,a3r.it,,,,,match,split domain,117664329,A3r Informatique,110768270,110768270,110768270,A3r Informatique,5 Place de la Joliette,Marseille,PAC,13002,FR,France,a3r.fr,a3rinformatique,a3rinformatique,0,Manufacturing,0,0,0,$5M - $10M,Small,Manufacturing,Industrial Equipment,SMB,true,Manufacturing,
false,aaa,pointcad.ru,,,,,no match,duplicate input,,,,,,,,,,,,,,,,,,0,0,0,,,,,,false,,
true,aaa,upv.es,,,,,match,exact domain,95865353,I.U.I Centro De Tecnologia Nanofotonica,95865353,95865353,95865353,I.U.I Cnt. De Tecnologia Nanofotonica,,Valencia,VC,46020,ES,Spain,upv.es,i.u.icentrodetecnologiananofotonica,i.u.icnt.detecnologiananofotonica,0,Business Services,11893,0,119,,Enterprise,Business Services,Technical,SMB,true,Business Services,
true,AAB Solutions Limited,aabsol.co.uk,,,,,match,exact domain,121209955,AAB Solutions Ltd,121209955,121209955,121209955,AAB Solutions,48 Meadow Road,Wokingham,WOK,RG41 2TD,GB,United Kingdom,aabsol.co.uk,aabsolutions,aabsolutions,0,Software & Technology,1,0,0,$1 - $1M,,Software & Technology,Data & Technical Services,SMB,true,Software & Technology,
true,AA-ESIEE,esiee.org,,,,,match,metaphone name,23589499,AAES,23589499,23589499,23589499,AAES,PO Box 2509,Sacramento,CA,95812,US,United States,aaes10.com,aaes,aaes,4,Business Services,4149,0,41,$1 - $1M,Small,Business Services,General,SMB,true,Business Services,
